Company,Rating,Review
OneTravel,"I love my experience but I didn’t like the late flight I was given. I would rather prefer a flight that lands earlier. Like I said, the price is very good. But I would rather had a flight that lands around 2 to 3 pm so that I can use the time to do something else.",
Jetsetter,"JetSetter was referred to me by a friend, and I can honestly say the company delivered from start to finish. I was given the task of planning a group vacation, I simply provided our groups desired travel destination, date, and price range. JetSetter presented us with several options to choose from, and was in timely communication from beginning to end. JetSetter as our travel consultant was a huge relief, provided reminders of necessary documents needed, and updated safety tips. Our vacation was most memorable, and I personally have thanked my friend several time over for her recommendation to try JetSetter.",
Jetsetter,Went to their presentation at a large hotel! Signed up and next day we cancelled. Contract says within 3 days cancel to get full refund! They ignore our cancellation and refuse to refund our money. I filed with BBB. They will not respond. I am filing with Attorney General and then will obtain an attorney! NEVER USE THIS SO CALLED COMPANY!,
Jetsetter,"Purchased membership and package to include 6 nights at a Marriott and upgraded Hawaii vacation. The ""gifts"" for attending the presentation turned out to be pretty much worthless (fees and small print restrictions). Almost impossible to contact our agent to schedule Marriott, Hawaii, etc. Lines are always busy, voice messages not returned, or line no longer in service. This happened with two different agents. After countless attempts we were finally able to get a discounted Marriott room in Kansas for 1 night. For approximately $2600 that is the TOTAL BENEFITS to date. Additionally I purchased and airline ticket through them. The flight was cancelled and they refunded the money to Jetsetters 5 months ago. Despite persistent attempts they have not refunded the money to me. Have sent them registered letters which were not acknowledge. Filed a complaint through the BBB and they did not respond to them either. We feel completely ripped off.",
Jetsetter,"We were promised a free airline trip, $500 for food and if we were 15 minutes early, $50. Those gifts were promised just for listening to the presentation. We did purchase membership, but had to cancel due to a family emergency. WE GOT NOTHING!!",
Jetsetter,"I had never heard of this company until Amazon sold them my email address. I hit ""unsubscribe,"" only to be told I had to register for an account to unsubscribe. This is not an honest way to do business, so I will not be involved with them in any way in the future. (Shame on Amazon as well, by the way.)",
Jetsetter,The overall flight booking experience with them was outstanding! Booking my flight was very easy and the company gave outstanding customer service to ensure that I got the flight that I wanted. They have great customer support and great rates and I highly recommend them. It was very fast easy and reliable and the service was fantastic! The procedures to book your flight will be very easy to understand. The overall cost was very affordable and the company has very competitive prices compared to others on the market! The outstanding customer service that you get will far outweigh the costs involved! They are just an exceptional company to deal with.,
Jetsetter,The booking service met my needs in searching for travel location. It helped me get the best deals for everything. Everything explained to me was very informative and straight to the point. The website was easy to use. It wasn't hard to navigate through all the travels posts. The filter was good at organizing things and for me being able to find things easily. The price tag is predictable with the price being higher end to the other stores that are similar in products. There are so many. With a higher price it is able to put more into service. There is extra service if you need help on finding something or if you have any question. The extra service offers different forms of communications.,
Jetsetter,They are easy to book when I need to. I have nothing but great things to say about them and what they do and continue to do for me and my needs to travel. They are very easy to use and are always there when I need them. They have the best choices and prices and packages. Great cost on everything. They always make sure to let you know that they have new extras all the time.,
Jetsetter,"The booking services was great. It doesn't take a lot of time to use the booking services, since all you have to do is pick the options you wants and provide the results. It is easy to use because all you have to do is select what you want and set up the preferences and everything will provided as a recommendation. I love that it has no cost for this service. It is free so we can use it whenever we want without worrying about if we will get charged if we don't use it. The extra services are amazing because there are many other services that offer, so you don't have to use it just for booking purposes.",
Jetsetter,I was able to book my vacation with little ease. There were many hotels and airlines to select from. They were very courteous when I called to ask a few questions. I was very satisfied with my experience. Jetsetter is a great website to use. It's pretty easy to navigate throughout the website and find what you're looking for. You just put the dates that you need and you will get a full list of available results. The cost was a pretty great value. They have some of the lowest prices around in the business. I was able to save over 200 dollars on my last trip using Jetsetter. They are a great company. Some of the extra services are really great. You can look up flights and book an airline that you need to use at a very low price. They are very easy to use and this website is one of the best.,
CheapOair,Working with this site has been very easy. I needed to contact an agent with some clarifications and to add our frequent flyer numbers and Global Entry IDs. She was very helpful and patient. She alleviated the potential for stress and just took care of it all then sent the new information to us via email. Her name was Kim. Lovely experience.,
CheapOair,When can I check in for my flight on 6/22 at 12:49 leaving CVG landing in Atl? I have checked my inbox for early check in and I have gone online to the Frontier Airlines site to check in but could not use the reservation number I was given when I completed the booking.,
CheapOair,"The process was easy and so far no problems. However, I have not received the boarding pass and I was not told how long it will take. I am to keep checking email? And there is also a possibility that I may not get my boarding pass?",
CheapOair,"Jigs was outstanding helping me resolve issues with my flight details, and provided excellent support and explanations. Although originally frustrated with CheapOAir, he managed to renew my confidence in the company. For a time it appeared that dealing directly with the carrier would provide cheaper rates without unnecessary markups. That is all I want to say, but your form keeps asking me to add words... so I am getting frustrated with CheapOair again.",
CheapOair,"Hello, Nagel was nice and very helpful. The only thing is he talked a little bit faster. Sometimes I have to tell him to repeat what he said to me but other than that he is really great, polite and he ensure that I understand everything. He also stayed on the phone until I get my booking. Confirmation for my mom....Keep up the great work Mr. Nagel. He also told me to call him whenever I need to book a flight and he is willing to help me with any inquiries. Keep up the great work Mr. Nagel.",
CheapOair,"I see on the Hotel Price Details that there is a entry for $2223.44 and it should be $1110.46. Stella may have gone over this with me, but not sure. My head is still spinning from all the info. I do have a sheet that says there was a cancellation for something...don't have it at hand and I would be reimbursed. Can you tell me what that was for? My total is $3,691.61 which is about $1,000 or more over what it should be. Does that have something to do with a cancellation of something..the room??? Oh, on the review that I left before this one... NO. I have not received any incentive for doing that one. Thank you.",
CheapOair,"A true nightmare beyond believe!! Hello All. Am not sure about others' experiences. My experiences with CHEAPOAIR is beyond terrible. This information is just the beginning of me telling the world how bad they are. Am a single mom, a dentist, lives in San Diego CA. I bought tickets to visit my dad in Jakarta Indonesia who was in bad condition for June 16th, 2023. Flying from LAX to Cengkareng International Indonesia. Coming back from Bali - Denpasar to LAX on July 2nd,2023.More",
CheapOair,"Very easy to book the flight ticket, the website easy to followed, the prices very reasonable and competitive, after you book the flight ticket, they will send you the confirmation about the booking for you to review, I would refer this website to my friends, and to the one I know or around me. Very helpful, help times and money",
CheapOair,"Paid for my tickets, thought I was done, WRONG! Now I get to pay for my one carry on bag $74. I am a senior citizen on a very fixed income. This sucks sewer water. I'm so disappointed in this kind of behavior.",
CheapOair,"I truly enjoy CheapOair because it allows me to plan my family vacations all on budget plan. For example, I'm disability retirement and I really can't afford to travel but a family friend told me about cheapoair and I really couldn't believe the savings and discounts. Thank you so much for assisting me.",
CheapOair,"The site kept wanting to refresh which in turn raised the flight cost. Which ended up costing me $435.00 instead of the price that I first saw on the site which was $421.00. Also, the trip protection jumped in price as well every time it wanted to refresh. My take on this is that it is just a way for the 3rd party companies to make money off of the airline's customers.",
CheapTickets,"Cheaptickets customer service, name change team, informed me that they simply needed a copy of the marriage certificate and a copy or photo of my wife and daughter’s passports to submit a request to change their names on the itinerary to be consistent with their passports. Over a period of three days and several follow up phone calls, I was told each time that it’s being worked on and would take only 2-3 hours. Which took nearly three. It still didn’t happen. The name change team said that they can’t change the name, but must cancel the current booking (which is non refundable of course) and purchase new tickets at the current price. Because cheap tickets didn’t change the and wanted more money, they have now trapped my wife and daughter in China, unable to come home. My daughter will have to be withdrawn from starting kindergarten.",
CheapTickets,"I would rate my experience with CheapTickets website as extremely poor. On July 3rd, 2023, I purchased two tickets for a flight from Amman, Jordan to Toronto, Canada with a layover in Vienna and Paris. However, upon arriving in Amman, my wife and I were informed by Austrian Airlines staff that she was not allowed to transit through two European countries with her Yemeni passport.More",
CheapTickets,"I had reserved and paid for 2 round trip tickets to cancun, which I misspelled my last name on the ticket, Cheap Tickets gave me the runaround for weeks telling me to call the airline it was booked through. Eventually I had to buy new tickets from Alaska airlines because cheap tickets said it was impossible to fix my last name!! Took a very big loss and so upset that they weren't able to fix my name. None of the employees there actually know what they are talking about. One time on the phone the guy said he fixed it, don't worry about it, which was ridiculous because if it were that easy then why didn't they do it before and I never received a confirmation email. So he hung up and again I had to call again and get a different explanation how they can fix it. Then they told me to wait till 48-72 hours before the flight and the airline would be able to switch it. HAHAHA right because if I did that and it wasn't possible the ticket would be an insane amount of money. Worst experience ever!!",
CheapTickets,"I bought a round trip ticket coming from Costa Rica for my elderly mother, unfortunately she suffered an accident and broke her hip before the flight, I presented Cheaptickets the Doctor's letter about the accident of my mother and to request the refund or credit, they had me back and forward for about 22 days before the flight promising me will be resolved, the day of my mother flight came and they did not resolved anything. At the end they started sending me robotics messages that I had to to resolve it with Avianca the airline.",
CheapTickets,"Do NOT use this company!! They do not research or keep up with the motels/hotels they book for you. The place was literally a drug addict prostitute motel. The pool was filled in with dirt and the glass to the front door was tapped together. As a single woman, I did not feel safe and they did NOTHING to help.",
CheapTickets,"I booked an economy United Airlines flight through CheapTickets in July 2021 with the intent to fly in August 2021. My family ended up having an emergency that required me to stay home instead of travel as planned, so I called and spoke with a cheaptickets representative over the phone that eventually (and begrudgingly, after trying desperately to talk me out of a credit) supplied me with a credit to be used for a UA economy flight between that date and 12/31/23.More",
CheapTickets,"When you get a credit for flight cancelation, and want to use it for next flight, you are required to contact them to book. They then charge you double!! To ""cover"" the return. You are not allowed to book yourself online... and.. the flight you find online for cheaper they tell you we ""Don't get them on our screen,"" SCAM!!!",
CheapTickets,Cheaptickets advertises hotels that they do not check. The Super 8 in Burleson Texas is not as advertised. It was a dump for local prostitutes. I sat in the chair all night and refused to use their bathroom. The manager refused to answer my calls or the calls of CheapTickets. Cheaptickets refused to refund me the 5 of the 6 days that I did not stay in this dump. They have a no refund policy for no shows but no policy for checking out early. They should listen to their customers and at least offer a credit for future travel. DO NOT USE CHEAPTICKETS!!!,
CheapTickets,"After flying to an international country this site tells me there is nothing they can do when there are plenty of flights left with other airlines that they can easily book me on. Also NEVER buy their Insurance Policy, it's the biggest scam because they will not refund your money. They'll find a way not to refund it. My recommendation is to make sure you book directly with the airlines and avoid these deceiving companies at all costs if you are flying internationally. Moreover, they outsource their customer service to outside the USA and the service is just horrible. If you want to save yourself a lot of money, book elsewhere. They pretend to give you a deal and then cancel your ticket, so you end up paying twice if you want to reach your destinations on time. AVOID this site at all costs.",
CheapTickets,"Had a flight booked to Philippines. I was waiting on my Visa to get into Philippines. It did not come in time. So went to cancel my flight one day before. But they stated the ticket was with the airlines already. I called them to cancel, and they did. After I verified it was canceled the airlines stated I can go back to CheapTickets to rebook. Talked to Cheaptickets. They can not see on ""Their System"" that it was canceled. But they could say that they could charge me a missed flight fee, and additional $400+ with no problem.More",
trivago,I went on Trivago to search for a hotel in New York City for 2 nights and found one for the Marriott Marquis. Trivago took me to a booking site called ALGOTELS and they charged me $660 for the two nights. A few days ago I called the hotel to ask a question and was told that they didn't have my reservation so I have been in contact with both Trivago and Algotels and have gotten nothing but a runaround from both. I have left it up to my credit card company to get info and they did a credit to my account as they look into the issue.,
trivago,"Don't be fooled, I lost almost 2,500.00 dollars because I made a reservation on a page that Trivago advertised and it was a fraudulent company and TRIVAGO said that they were not responsible for the theft. On the other hand, something similar happened to me with KAYAK and they did take responsibility for a fraud from another company that they advertised and they returned all my money!!! I don't know why TRIVAGO keeps advertising hotel sites if they know that many of the companies they advertise are scams and thieves, do they also receive some commission for fraud? Otherwise because they keep announcing hotels etc. etc. KAYAK, PRICELINE OR BOOKING are very good, trustworthy and responsible.",
trivago,Booked two rooms at the Disney All Sports through Trivago then third party site Agoda it put in dates for my stay but as I looked after I paid the dates were wrong. By then I couldn't get a refund or credit for different days so I'm out $450.00 dollars. The site is very deceiving. I feel scammed. They could at least changed the day.,
trivago,"We booked the Royal York in Toronto via the Trivago site through a third party supplier named Traveluro. We received a voucher with a confirmation number. On the day of travel by air from Halifax, NS to Toronto we were advised that our reservation at the Royal York was cancelled because it was overbooked. We then phoned the Royal York and they advised that they were not overbooked and did have many rooms left and did not recognize our confirmation number. We then contacted Traveluro. We then contacted Traveluro who then again stated that there were no room available at the Royal York but offered us a room at a three star hotel called The Beverley. We reluctantly accepted this reservation because we were out of options.More",
trivago,They propose you prices which are always without taxes for hotels in EU which have taxes included. They propose good deals but later they cancel your reservations. Those deals keep appearing on their search results but you can’t have them! Complete waste of time. Go to Hotels.com and you’ll always get 1 for free after 10 stays! Simple and more efficient.,
trivago,"I booked online using the app in Canada for a hotel in Ontario, Canada. I agreed to paying $129.16 Canadian. And I got charged $129.16 in USD so my bill came to $168. I've talked to three different agents and nobody can help me in resolving this issue. I will not be using Trivago again and will be sharing this information with friends and family as well.",
trivago,I used Trivago.com to find a hotel to stay at. Me and my wife were taking a trip to Miami for a concert so we use trivago and it hooked us up with **. That’s not a typo. It’s called **. We booked the room and ended up having to cancel it because Covid hit so I called the hotel to cancel our reservations and they said we had to contact Otel. That in itself was a nightmare. When we finally got them to do something all they would do was give us a voucher for a stay in another hotel at some other time.More,
trivago,Site is on top of new rules and price changes. I love this site and would recommend it so go try this out for yourself. That's the only way you will know and all I can say about it right now cheaper flights.,
trivago,In my travels we booked as we went & found by choosing between the first three you looked. Always have a brilliant result; Not only were we satisfied with the ease of booking but felt confident that nothing was going to wrong with our decision making as price was always exactly what we expected!,
trivago,"Trivago is the best site I've seen to find the ideal hotel to stay at. I highly recommend using it. And then when you find the hotel you want to stay at, the best thing to do is go to that hotel's website and book directly through them. You will pay the same price and the hotel appreciates you booking directly through them so they don't have to pay a fee to the middleman. Sometimes they will will thank you by giving you a free drink or some other freebie. Also when you book directly with the hotel it is more likely that you will actually get the room that you request. You will also probably have an easier time changing or cancelling the reservation if necessary. I hope this helps.",
TripAdvisor,"We recently registered our business with Tripadvisor with a number of agreements to include Tripadvisor wiping reviews from another similar business at our location (different business name). A new account should have been set up instead of adding our business to an old businesses account. We requested that reviews of the previous business be wiped, as well as requested that dated pictures of the property and pictures that were not of the property be deleted. Tripadvisor didn't follow through on any of the agreed terms and went silent after our account was set up and billing was established. The account manager stopped answering his phone and there is no phone number for a general customer service for property members.More",
TripAdvisor,"Several times now I try to book a hotel with a ""special price"" for Tripadvisor Plus members. I keep getting error messages about my credit card info not entered correctly - I have meticulously entered credit card info for 3 different cards, all of them in very good standing. I sign out and sign back in and, of course, then the ""special price"" is gone. It's impossible that this is just coincidence that it has happened at least 3 times.",
TripAdvisor,DO NOT prepay ANY hotel through Tripadvisor. They do not visit hotels before they upload the hotel. When you arrive at hotel it's not as the pictures & then you are out of luck for getting a refund. Tripadvisor does not get hold of the manager for the approval of a refund and they just deny it saying they couldn't get hold of the manager. Always check the hotel and room before you actually pay the hotel.More,
TripAdvisor,"They reject reviews without any solid reason. As such, the reviews on their site cannot be trusted. Customer reviews are all important, even when they are negative. Customers deserve to read all reviews.",
TripAdvisor,The whole thing is fake. Tripadvisor ONLY promotes restaurants or hotels that will book though Viator and pay a 30% fee. All the other legit companies will not be rated. That all started about 5 year ago when Viator bought Tripadvisor. I'm in the top 3 in my area but you cannot find me there as I refuse to pay that 30% booking fee.,
TripAdvisor,"I wish to inform all businesses that are thinking of signing up with Tripadvisor, that you read and understand their policies. They are very strict about not removing any reviews from their website even if they are detrimental to your business. They won't even let me close my account to remove my listing. I can only say that my business is closed. All the reviews will remain online forever. As long as the reviewer seems to be within their so-called guidelines, they will let it be posted. Please look elsewhere for review companies that allow some sort review management. I have over 36 reviews on Tripadvisor. Two of them are negative and over 5 years old. If you do I search for my business on Google, the most negative review always, I mean always shows up first in a search. No rotation of reviews whatsoever. Here is the canned response I received from the so-called support team:More",
TripAdvisor,"I made a booking for a Hilton hotel 6 months before my reservation. 5 days before my reservation they sent me an email that said I can cancel or go to a different hotel that was outside of the city. I called 3x getting different stories, but the email was true. I’m TripAdvisor plus. I pay $99/yr for good deals. This is not acceptable. I can’t trust them now so I will never use them again. They were no help when I called. Take the hotel or cancel basically is what they said. I cancelled. What if I had been going on my dream vacation. Think about this before you book with them. Will you be ok if you get this email 5 days before your trip. I have always liked Tripadvisor, but now I know what happens when things go wrong.",
TripAdvisor,We are abandoning TripAdvisor as our guide. Often we find ourselves in restaurants with bland food that have high ratings just because of the price and because just like with everything else the general public has a sad taste.,
TripAdvisor,"They want to only hear positive. But that helps no one traveling to warn them about potential problems and rip-offs and dangers. People need the raw unfiltered truth, not some namby-pamby review that does nothing to aid them in their choices.",
TripAdvisor,"As a service business our reviews are very important to us. We strive to offer the highest level of customer service and respond to any unsatisfied customers immediately. Posts that are ""blatantly"" mistaken identity or obviously non verified customers do not get removed when you report them to TripAdvisor. We took valuable time to investigate the authenticity to a few negative posts and TripAdvisor still refused to take them down. Their platform is not fair like Google and Yelp reporting. They actually ""read"" your report and ""see"" the issues. Honest posts regardless of the review are not disputed and we attempt ""every remedy"" available to ensure the customers are satisfied with our actions when dissatisfied. Their platform needs better monitoring and oversight with more in depth rational considerations when businesses dispute a review.",
Travelzoo,"I am so very disappointed in my recent experience with UTOvacation. I have been a Travelzoo member for many years, and always had great experiences with your Top 20 vacation deals. My experience with UTO was very different. Same as previous posts regarding the advertisement of UTO vacations. UTO changed the submission date, and then said the tour was booked in full even though I said I could be very flexible on dates. Now I am out 4k. UTO is offering my family a travel credit, but as I read more about the company this is just another bait and switch to get more money out of you, to again cancel with the offer of a credit. After doing research I see this is not an isolated case, and many families have lost thousands to this company, and by extension Travelzoo is benefiting from the traffic to their site. Travelzoo continues to advertise this company's deals even after the abundance of burned customers.",
Travelzoo,"Echo the same problems from the last few reviews - we need to make this more prominent and tell people. Travelzoo needs to stop endorsing companies that operate fraudulently. I also booked a trip from UTO Vacations but UTO did follow their own Terms and Conditions. They changed the ""submission of forms"" dates requirement after we had paid them in FULL. They have cancelled and rebooked us three times, each time asking for more money., I thought eventually it would happen, but now two years later they just cancelled again. Then they cancelled us and refused to refund the monies paid. Travelzoo continues to endorse them too. I'm not alone as I heard stories from others of the same incident. And I am posting so that Travelzoo remove them from the site asap!",
Travelzoo,"Travelzoo needs to stop endorsing companies that operate fraudulently. We also booked a trip from UTO Vacations but UTO didn't follow their own Terms and Conditions. They changed the ""submission of forms"" dates requirement after we had paid them in FULL. Then they claim we didn't submit on time. All these documents are supposed to be submitted 150 days before our trip starts but they changed the dates demanding we submit 250 days before, thereby making us lose 3 months of compiling our documents. They also just gave our group 10 days to complete everything? How is that specially with trying to get our passports (which was in the pipeline) at the moment? Then they cancelled us and refused to refund the monies paid. Travelzoo continues to endorse them too. I'm not alone as I heard stories from others of the same incident.",
Travelzoo,"I put down a deposit for couple of trips with UTO. They cancelled my China/India order(#**) for more than a year ahead of the scheduled?? The trip is not depart until OCTOBER 15, 2023. UTO transfer my money from that order to another booking without my authorization. I try to contact UTO by phone and emails with no success. After 7 months and a 1 star review on their website, Amy ** calls, offer no explain, refuse a refund and ask if I would like to reinstate the trip now. If they did that from the start I would get into their trap, to pay final payments + mandatory tip (UTO charge $30 tipping a day pp, outrageous) and would have loose more money.More",
Travelzoo,TZ advertises tours for UTO Vacations who fraudulently cancels or changes scheduled trips. They give you the option for a refund then never refund your money if you select that option. Beware of UTO via TZ. TZ should refer replicable companies for customers!,
Travelzoo,"UTO Vacations is the name of the company, they are not listed on this website but I purchased via TravelZoo portal. BEWARE. It looked like such a good deal. We booked in Nov 2022 for a trip in Nov 2023 with UTO vacations. Per documentation (we have copies) last payment was supposed to be May 2023. One month (April) before last payment I contacted them to get status on visas process. They claimed they had sent an email in February (that email was never received) and was told that I was dropped by the list and couldn't go to the trip (I have the chat conversations). They didn't even had the courtesy to send an follow up or send email to let us know we have been dropped.More",
Travelzoo,"The Turks and Caicos' package deal my cousin & I purchased $2,299 was noted as a beachfront suite. Nowhere did it state it was only 1 bed nor that you could not upgrade to 2 beds. Resort said no to upgrading & I can get a refund from Travelzoo. Then resort came back and said for $2282 we could get a 2nd bed. That’s more than the original cost for pkg deal already paid!! We then requested a refund or at least a credit with Travelzoo of whom rejected both options. The package deal ad never stated the # of beds. If it did, we clearly would not have purchased it, as we are two grown cousins that do not need to be sharing a bed. Especially for the money paid. It almost feels discriminatory that technically the package was geared towards couples. But now we are being punished and out $2300 because Travelzoo will not at least give us a credit.",
Travelzoo,"My family of three purchased a vacation package from UTO Vacations that was advertised and supposedly vetted by Travelzoo. This was on 9/9/22. We paid in full as requested by the company ($1578). We completed all requested documentation. I started researching visa requirements only to find China was requiring a mandatory 10-day isolation at your own expense when entering the county. Our whole trip was only 10 days. UTO was aware of this requirement when they advertised and sold the travel packages. When I contacted UTO Vacation their response was, ""Sorry, you will have to take a credit and use toward a package that costs thousands more.""More",
Travelzoo,"I have booked with Travelzoo on a few occasions and have had good experiences. But this time was not so good. I booked a 2 night stay at a hotel in Tofino. The description read, room with a view of islands. So I thought it was a full view of islands as the hotel did say they had rooms like that. When I arrived at the hotel , the room had a partial view from the balcony. I phoned the front desk and they said they did not have any full view rooms left. And to contact Travelzoo. I emailed them and all they said was sorry I was disappointed with the view. And that's the room I booked. So be aware, their descriptions of the room that you are booking may not be accurate.",
Travelzoo,"BUYER BEWARE!! UTO is a scam and is not reputable, don't buy a tour with them. We purchased a tour to China through a link from Travelzoo in November 2020 and planned to travel the following year. Obviously, China and the world shut down due to covid. UTO was unable to fulfill their part of the contract so they kept a credit for future travel. China continues to be a mess and have outbreaks of covid, lockdowns, travel restrictions, etc. I have no desire to travel there. UTO has had my money, interest free, for 2 1/2 years and they are refusing to refund my $1300. Their customer service agents tell me to use the credit toward another of their trips rather than a refund. UTO is unable to produce the trip to China, they need to refund my money. Why does Travelzoo continue to showcase such a dishonest and disreputable company like UTO?",
Tours4Fun,"We went on a two day excursion to Niagara Falls from New York. We really liked the excursions presented by the travel company, but the only thing that was not convenient for us was the bus. It was not new and it seems to me not designed for a long distance. But despite this, we were very satisfied. Our guide Judy was very friendly and happy to answer any questions. Thank you for a good vacation time.",
Tours4Fun,"I booked a trip for Niagra Falls last week for Aug. Plans changed and according to their policy ""100% refund if requested 25 days or more prior to departure ""...I submitted the request and I received an email back saying they will charge me 6%. It's impossible to offer 100% refund and still have to pay a fee.",
Tours4Fun,"We booked a 5 day / 3 island tour of Hawaii with this company. Even after paying the full price for the trip, which included pick up / drop off; hotel stay, etc. The driver / guide kept asking for tips for each instance. Pick up - Tip. Drop off - Tip. and the list goes on. When I asked why we are being harassed for tips every few hours, the Chinese speaking driver pointed to the so called 'contract' stating these tips are mandatory. When I agreed to pay only what I thought was a reasonable tip, and not their mandatory tip amount, the driver called up their office and complained against me and I received a nasty e-mail from them the very next morning berating me for failing to tip the driver. Plus, the driver / guide was Chinese speaking, and we could hardly understand her.More",
Tours4Fun,"We purchased a bus tour for 14 people from LA to Vegas, Antelope Canyon, Grand Canyon, Chocolate Factory, and Cactus Garden. The bus had issues after a stop on the way to Vegas. The next morning as we went to load up we were told our large comfortable tour bus was being repaired (never did) and the backup plan was to squeeze us plus the rest of the travelers into a car and a van for 10 hour drive.More",
Tours4Fun,The tour was like well oiled but the driver cum guide mostly spoke on his phone throughout the journey and at times he even texted while driving. When the tour can easily allow clients to see the night lighting at the falls they try to make money even out of what is otherwise free. Everything aside putting people's lives at risk not acceptable.,
Tours4Fun,"Everything was in Chinese and it was very confusing. I didn't get anything about pick up location, guide, vehicle, whatsoever. I had no idea where or what is going to happen. Even a day before the actual trip, I didn't get anything. I had to call them to find out and it was actually different location that I knew from the reservation. It was extremely difficult to communicate with them, also even though that was their fault, they refused to refund my money and I just blew hundreds in the air. I literally got no service at all but they didn't give my money back. All I wanted was going to Grand Canyon without hours of driving but eventually I had to drive 10 hours a day but still wasted my money. I super regret booking with this company and from now on I won't trust any of these scammy services AT ALL!",
Tours4Fun,"Great price! Terrible tour guide with poor English, no customer service skills, and who was very impatient. Predominate Chinese and Indian attendees. I got to see most of the places mentioned but was very rushed, stressed, and with unrealistic time frames. Left around 6:45 am and returned 10pm. Spend over 24 hours riding from NY, to NJ, to DC, to Niagara Falls. Most of the tour is spent riding a dirty bus.",
Tours4Fun,"Our tour guide is very rude. He discriminated and treated very differently to people who order adds on item with cash and who didn't order. He is very impatient and told me and my friend that if we don't order adds on item with cash, we have to stay in the bus. We only saw city hall area in Philly for the whole trip. Overall, one of the most unpleasant experience and don't want to recommend.",
Tours4Fun,"Be careful with booking any trips with this company. Unlike other companies (Viator or Get Your Guide), their cancellation fees are based on how long in advance their customers cancel their reservation in relation to their travel date. When booking trips/activities they do not inform customers in the obvious manner about their cancellation and change policy during the online reservation process. You need at least 20 days prior to booking to cancel your reservation to get your 100% refund. The cancellation process is arranged the way that customers are required to fill a long cancellation form with detailed information that is frustrating and time consuming. Everything is set up to delay the cancellation process as much as possible to catch unaware customers and surprise them with cancellation fees. The other companies provide better service and cancellations can be made up to 24 hours prior to excursions without cancellation fees with one click of a button.",
Tours4Fun,"We pre-paid for a Chichén-Itza tour from Merida. The day before, T4Fun emailed changing our pick up location from our hotel to a home address in a neighborhood blocks away. We walked to the location and arrived 15 minutes before the pickup time of 8AM. We waited for almost an hour and no one ever showed to pick us up.More",
Travelocity,"I booked a hotel reservation and selected the option to pay a down payment. However, the full amount was charged to my card. Once I received the receipt, I contacted Travelocity’s customer service, they told that’s what was charged and they don’t have control over that. I kept asking to speak with a supervisor and he put me on hold and came back on the line and said the full amount wasn’t charged. Again, I had the receipt showing the full amount was charged to my card. We contacted the hotel directly and was given a person to speak to for the full refund. I haven’t used Travelocity for quite sometime and WILL NEVER USE THEM AGAIN!!! Awful customer service!",
Travelocity,"Booked a stay in Canada back in June. With the fires, I cancelled the trip. Travelocity refused to refund the insurance we paid for. Stating it's non refundable. I cancelled because I am afraid of my infant daughter breathing in the air. Over $71 they would not refund to me. They cared more about taking my money than a health of a baby girl. Over $71.",
